Date,Open,High,Low,Close,Adj Close,Volume
1/7/11,"11,696.86","11,726.94","11,599.68","11,674.76",,
1/14/11,"11,672.34","11,794.15","11,573.87","11,787.38",,
1/21/11,"11,783.82","11,905.48","11,744.77","11,871.84",,
1/28/11,"11,873.43","12,020.52","11,803.04","11,823.70",,
2/4/11,"11,824.39","12,092.42","11,817.88","12,092.15",,
2/11/11,"12,092.38","12,285.94","12,092.30","12,273.26",,
2/18/11,"12,266.83","12,391.29","12,193.27","12,391.25",,
2/25/11,"12,389.74","12,389.82","11,983.17","12,130.45",,
3/4/11,"12,130.45","12,283.10","12,018.63","12,169.88",,
3/11/11,"12,171.09","12,257.82","11,936.32","12,044.40",,
3/18/11,"12,042.13","12,042.13","11,613.30","11,858.52",,
3/25/11,"11,860.11","12,259.79","11,860.11","12,220.59",,
4/1/11,"12,221.19","12,419.71","12,173.51","12,376.72",,
4/8/11,"12,374.60","12,450.93","12,320.72","12,380.05",,
4/15/11,"12,380.43","12,444.00","12,163.86","12,341.83",,
4/21/11,"12,339.71","12,506.06","12,093.89","12,505.99",,
4/29/11,"12,505.99","12,832.83","12,446.05","12,810.54",,
5/6/11,"12,810.16","12,876.00","12,521.28","12,638.74",,
5/13/11,"12,637.83","12,781.06","12,537.17","12,595.75",,
5/20/11,"12,594.77","12,642.90","12,378.84","12,512.04",,
5/27/11,"12,511.36","12,511.36","12,309.52","12,441.58",,
6/3/11,"12,443.40","12,574.29","12,104.03","12,151.26",,
6/10/11,"12,151.19","12,183.12","11,937.42","11,951.91",,
6/17/11,"11,945.33","12,120.80","11,862.53","12,004.36",,
6/24/11,"12,004.28","12,217.33","11,874.94","11,934.58",,